workorder_number,demand_id,lot_number,serial_number,model,organization_code,decision_state,oqc_flag,hold_flag,rework_flag,hold_reason,decided_at,inspection_date
SYN-WO-000001,SYN-DEM-000001,SYN-LOT-000001,SYN-SER-00000001,SYN-MODEL-01,SYN-ORG-001,oqc_pending,false,false,false,,2026-01-05,2026-01-04
SYN-WO-000001,SYN-DEM-000001,SYN-LOT-000001,SYN-SER-00000002,SYN-MODEL-01,SYN-ORG-001,oqc_hold,false,true,false,SYNTHETIC OQC HOLD,2026-01-06,2026-01-05
SYN-WO-000001,SYN-DEM-000001,,SYN-SER-00000003,SYN-MODEL-01,SYN-ORG-001,oqc_pass,true,false,false,,2026-01-07,2026-01-06
SYN-WO-000002,SYN-DEM-000002,SYN-LOT-000002,SYN-SER-00000004,SYN-MODEL-02,SYN-ORG-002,oqc_pass,true,false,false,,2026-01-06,2026-01-05
SYN-WO-000002,SYN-DEM-000002,SYN-LOT-000002,SYN-SER-00000005,SYN-MODEL-02,SYN-ORG-002,oqc_pass,true,false,false,,2026-01-07,2026-01-06
SYN-WO-000002,SYN-DEM-000002,SYN-LOT-000002,SYN-SER-00000006,SYN-MODEL-02,SYN-ORG-002,long_term_hold,false,true,false,SYNTHETIC LONG TERM HOLD,2025-01-01,2026-01-07
SYN-WO-000003,SYN-DEM-000003,SYN-LOT-000003,SYN-SER-00000007,SYN-MODEL-03,SYN-ORG-003,rework,false,false,true,SYNTHETIC REWORK,2026-01-07,2026-01-06
SYN-WO-000003,SYN-DEM-000003,SYN-LOT-000003,SYN-SER-00000008,SYN-MODEL-03,SYN-ORG-003,oqc_pass,true,false,false,,2026-01-08,2026-01-07
SYN-WO-000003,SYN-DEM-000003,SYN-LOT-000003,SYN-SER-00000009,SYN-MODEL-03,SYN-ORG-003,oqc_pass,true,false,false,,2026-01-09,2026-01-08
SYN-WO-000004,SYN-DEM-000004,SYN-LOT-000004,SYN-SER-00000010,SYN-MODEL-04,SYN-ORG-004,oqc_pass,true,false,false,,2026-01-08,2026-01-07
SYN-WO-000004,SYN-DEM-000004,SYN-LOT-000004,SYN-SER-00000011,SYN-MODEL-04,SYN-ORG-004,oqc_pass,true,false,false,,2026-01-09,2026-01-08
SYN-WO-000004,SYN-DEM-000004,SYN-LOT-000004,SYN-SER-00000012,SYN-MODEL-04,SYN-ORG-004,oqc_pass,true,false,false,,2026-01-10,2026-01-09
