scenario_id,operation,route,measured,started_at,finished_at,duration_ms,first_byte_ms,status_code,expected_status,success,response_bytes,correlation_id,error_code
V00,PREFLIGHT,GET /imports/policy,False,2026-09-17T13:07:31.437808+00:00,2026-09-17T13:07:31.467004+00:00,29.172815,28.860528,200,200,True,488,8afcb63d-fc75-4baa-a28e-fc0ca4bedc91,
V00,UPLOAD,POST /imports,True,2026-09-17T13:07:31.467240+00:00,2026-09-17T13:07:36.063637+00:00,4596.385562,4596.185354,201,201,True,525,e238a168-0f24-49de-91de-965d9df5706c,
V00,PROCESS,GET /imports/{id}/pipeline-summary,True,2026-09-17T13:07:36.063817+00:00,2026-09-17T13:07:36.113858+00:00,50.027369,49.861293,200,200,True,110,00091873-35ea-4c96-a4a6-af5fbf35b2bf,
V00,QUERY,search-workorder,False,2026-09-17T13:07:36.113951+00:00,2026-09-17T13:07:36.147308+00:00,33.348708,33.187953,200,200,True,516,988c421e-e8fe-4f55-ba1e-aa44c47dce5c,
V00,QUERY,workorder-detail,False,2026-09-17T13:07:36.147356+00:00,2026-09-17T13:07:36.176477+00:00,29.113773,28.971808,200,200,True,591,9fa3cd78-9206-42d1-81ee-9ba025c79027,
V00,QUERY,lot-detail,False,2026-09-17T13:07:36.176531+00:00,2026-09-17T13:07:36.214460+00:00,37.922295,37.764462,200,200,True,365,bc4793a6-aa2c-4cea-bc4a-2ce9c6c951a9,
V00,QUERY,serial-detail,False,2026-09-17T13:07:36.214505+00:00,2026-09-17T13:07:36.241974+00:00,27.462097,27.325063,200,200,True,222,ff226991-0026-4afd-af69-32ce5b9a1203,
V00,QUERY,pending-list,False,2026-09-17T13:07:36.242036+00:00,2026-09-17T13:07:36.271495+00:00,29.450974,29.297227,200,200,True,133,e4735d51-b56e-4d9a-bfb3-e99af2cbf5ff,
V00,QUERY,history-list,False,2026-09-17T13:07:36.271544+00:00,2026-09-17T13:07:36.316896+00:00,45.338979,44.998367,200,200,True,22106,c53cf227-c683-46c0-968c-3dfef4be184d,
V00,QUERY,consolidated,False,2026-09-17T13:07:36.317012+00:00,2026-09-17T13:07:36.392943+00:00,75.9148,75.517064,200,200,True,112946,08efdda4-ea23-41ae-aa01-b166d16e9872,
V00,QUERY,indicators,False,2026-09-17T13:07:36.393009+00:00,2026-09-17T13:07:36.454099+00:00,61.079361,60.888479,200,200,True,469,5fa9dde8-908e-46c2-b17a-bb5c94778bc2,
V00,QUERY,search-workorder,True,2026-09-17T13:07:36.454161+00:00,2026-09-17T13:07:36.500891+00:00,46.693348,46.463449,200,200,True,516,94a711af-6437-4d69-80bc-b0dbfb1fa20c,
V00,QUERY,workorder-detail,True,2026-09-17T13:07:36.500963+00:00,2026-09-17T13:07:36.549842+00:00,48.868787,48.715221,200,200,True,591,1e1377b2-f02a-403f-9094-d2c6da002df8,
V00,QUERY,lot-detail,True,2026-09-17T13:07:36.549885+00:00,2026-09-17T13:07:36.598771+00:00,48.876646,48.682918,200,200,True,365,75c8a945-67dd-4f68-85c2-8cdf9714910e,
V00,QUERY,serial-detail,True,2026-09-17T13:07:36.598867+00:00,2026-09-17T13:07:36.627304+00:00,28.425205,28.25177,200,200,True,222,de18db75-3314-41a5-83c4-5f060eb7fb05,
V00,QUERY,pending-list,True,2026-09-17T13:07:36.627351+00:00,2026-09-17T13:07:36.664227+00:00,36.867968,36.67408,200,200,True,133,091e19dc-5daf-4bb2-919d-090524749258,
V00,QUERY,history-list,True,2026-09-17T13:07:36.664282+00:00,2026-09-17T13:07:36.696684+00:00,32.396967,32.166225,200,200,True,22106,67b2d24a-3eb0-4f14-b932-307c857bfb62,
V00,QUERY,consolidated,True,2026-09-17T13:07:36.696750+00:00,2026-09-17T13:07:36.781774+00:00,85.014243,84.811726,200,200,True,112946,83fa905d-ae9c-4851-9785-336765e7aeac,
V00,QUERY,indicators,True,2026-09-17T13:07:36.781819+00:00,2026-09-17T13:07:36.821063+00:00,39.238564,39.064187,200,200,True,469,1c5a1340-71b8-49b9-8c25-03122ccf5424,
