at,monotonic_seconds,api_memory_bytes,api_memory_limit_bytes,api_oom_kill,api_cpu_usage_usec,api_cpu_nr_throttled,api_cpu_throttled_usec,api_cpu_fraction,pg_memory_bytes,pg_memory_limit_bytes,pg_oom_kill,pg_cpu_usage_usec,pg_cpu_nr_throttled,pg_cpu_throttled_usec,pg_cpu_fraction,host_memory_available_bytes,storage_capacity_bytes,storage_used_bytes,storage_free_bytes,storage_used_fraction
2026-09-17T12:40:15.773779+00:00,2272.014639841,105054208,1342177280,0,2356327,2,93021,,73752576,402653184,0,2460880,0,0,,2436055040,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:16.775221+00:00,2273.016069637,126337024,1342177280,0,2734686,2,93021,0.18890939809829635,76349440,402653184,0,2795150,0,0,0.1668963722346172,2406039552,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:17.776022+00:00,2274.016869761,139841536,1342177280,0,3137947,2,93021,0.20146929957808257,91058176,402653184,0,3349961,0,0,0.2771837186542105,2405646336,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:18.776721+00:00,2275.017565106,139759616,1342177280,0,3437722,2,93021,0.14978334889730405,115675136,402653184,0,4126046,0,0,0.38777286407793915,2424049664,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:19.777319+00:00,2276.018164474,139862016,1342177280,0,3754026,2,93021,0.15805726553284577,122003456,402653184,0,4861152,0,0,0.367332832454816,2429206528,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:20.777907+00:00,2277.018753125,136593408,1342177280,0,3950381,2,93021,0.0981197417159372,121430016,402653184,0,5726527,0,0,0.4324329479128576,2435227648,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:21.778793+00:00,2278.019648106,136437760,1342177280,0,4147325,2,93021,0.09838394823559182,120582144,402653184,0,6622241,0,0,0.4474565349027891,2443546624,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:22.779515+00:00,2279.020359488,137981952,1342177280,0,4351873,2,93021,0.10220129583779133,120119296,402653184,0,7456630,0,0,0.4168979263194892,2441682944,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:23.780358+00:00,2280.021211819,138616832,1342177280,0,4585316,2,93021,0.11662209936939204,120406016,402653184,0,8260604,0,0,0.4016446658002493,2433806336,509332160512,57693859840,448992464896,0.11327354585660553
2026-09-17T12:40:24.781221+00:00,2281.022069118,138829824,1342177280,0,4821028,2,93021,0.11775504871449005,117649408,402653184,0,8965203,0,0,0.35199773269575146,2440105984,509332160512,57693859840,448992464896,0.11327354585660553
