timestamp,target,cpu_seconds,rss_bytes,read_bytes,write_bytes,load_1m,memory_available_bytes,disk_free_bytes,db_connections,db_active,db_waiting,db_commits,db_rollbacks,db_blocks_read,db_blocks_hit,db_temp_files,db_temp_bytes,db_deadlocks,collection_error
2026-09-17T12:40:16.117891+00:00,system,,,,,0.86279296875,2423726080,448992464896,,,,,,,,,,,
2026-09-17T12:40:16.118119+00:00,backend,2.35,95158272,29515776,40960,,,,,,,,,,,,,,
2026-09-17T12:40:16.125156+00:00,postgres,,,,,,,,2,2,1,103,0,542,130101,0,0,0,
2026-09-17T12:40:17.125386+00:00,system,,,,,0.86279296875,2396598272,448992464896,,,,,,,,,,,
2026-09-17T12:40:17.125683+00:00,backend,2.91,113639424,30138368,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:17.128915+00:00,postgres,,,,,,,,2,1,0,143,0,573,147135,0,0,0,
2026-09-17T12:40:18.129178+00:00,system,,,,,0.86279296875,2414395392,448992464896,,,,,,,,,,,
2026-09-17T12:40:18.129355+00:00,backend,3.23,113643520,30138368,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:18.131509+00:00,postgres,,,,,,,,2,1,0,146,0,583,147593,0,0,0,
2026-09-17T12:40:19.131662+00:00,system,,,,,0.86279296875,2421895168,448992464896,,,,,,,,,,,
2026-09-17T12:40:19.131878+00:00,backend,3.54,113643520,30138368,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:19.134089+00:00,postgres,,,,,,,,2,2,0,148,0,583,147593,0,0,0,
2026-09-17T12:40:20.134224+00:00,system,,,,,0.9541015625,2428829696,448992464896,,,,,,,,,,,
2026-09-17T12:40:20.134531+00:00,backend,3.81,109518848,30150656,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:20.138599+00:00,postgres,,,,,,,,2,2,0,178,0,609,705837,0,0,0,
2026-09-17T12:40:21.138894+00:00,system,,,,,0.9541015625,2437402624,448992464896,,,,,,,,,,,
2026-09-17T12:40:21.139137+00:00,backend,4.01,109527040,30150656,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:21.142221+00:00,postgres,,,,,,,,2,1,1,296,0,611,783854,0,0,0,
2026-09-17T12:40:22.142433+00:00,system,,,,,0.9541015625,2431877120,448992464896,,,,,,,,,,,
2026-09-17T12:40:22.142726+00:00,backend,4.2,109527040,30179328,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:22.144520+00:00,postgres,,,,,,,,2,2,0,404,0,611,857744,0,0,0,
2026-09-17T12:40:23.144678+00:00,system,,,,,0.9541015625,2438885376,448992464896,,,,,,,,,,,
2026-09-17T12:40:23.144888+00:00,backend,4.42,111079424,30248960,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:23.146140+00:00,postgres,,,,,,,,1,1,0,489,0,627,947261,0,0,0,
2026-09-17T12:40:24.148845+00:00,system,,,,,0.9541015625,2437210112,448992464896,,,,,,,,,,,
2026-09-17T12:40:24.154459+00:00,backend,4.66,111079424,30248960,17149952,,,,,,,,,,,,,,
2026-09-17T12:40:24.156775+00:00,postgres,,,,,,,,1,1,0,577,0,627,1039182,0,0,0,
